ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpent,TotalPurchases,TotalChildren,TotalCampaignsAccepted,CustomerTenureDays,CLV,IncomeGroup,AgeGroup,CustomerSegment,CustomerSegmentLabel
8430,1957,Graduation,Married,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,68,22,3,1,0,4673,1.7195591696982668,Low,60+,2,Potential
7281,1959,PhD,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,66,186,8,0,0,4357,15.592494835896257,Mid,60+,0,Champions
2139,1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,50,31,5,1,0,4391,2.5786267365064908,Low,40-50,2,Potential
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,49,984,15,0,0,4122,87.19213973799125,Upper-Mid,40-50,1,At Risk
9909,1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,29,122,7,0,0,4718,9.444785926239932,Low,<30,2,Potential
7286,1968,Graduation,Married,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,57,55,4,1,0,4522,4.442448031844317,Lower-Mid,50-60,0,Champions
7244,1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,74,124,7,3,0,4300,10.532790697674418,Mid,60+,0,Champions
6566,1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,71,1319,19,2,0,4719,102.09043229497776,Mid,60+,3,Lost
8614,1957,Graduation,Widowed,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,68,507,16,1,0,4169,44.41874550251859,Mid,60+,3,Lost
4114,1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,61,1693,28,0,0,4808,128.61236480865225,Upper-Mid,60+,3,Lost
1331,1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,48,72,5,1,0,4664,5.638507718696398,Lower-Mid,40-50,0,Champions
2225,1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,48,1617,20,0,2,4143,142.55593772628532,Upper-Mid,40-50,1,At Risk
9381,1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,47,606,16,2,0,4503,49.15423051299134,Mid,40-50,1,At Risk
6260,1955,Master,Married,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,70,1957,26,0,1,4708,151.82545666949872,Upper-Mid,60+,1,At Risk
10383,1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,59,1093,20,0,0,4574,87.27989724529952,Mid,50-60,3,Lost
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,37,29,5,1,0,4183,2.532213722208941,Low,30-40,2,Potential
8557,1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,43,46,5,1,0,4498,3.735326811916407,Mid,40-50,0,Champions
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,57,518,16,1,0,4239,44.633050247699934,Mid,50-60,1,At Risk
6853,1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,43,1438,20,0,2,4481,117.21256415978576,Upper-Mid,40-50,3,Lost
3076,1975,Graduation,Married,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,50,612,18,2,0,4781,46.75444467684585,Mid,40-50,3,Lost
1012,1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,73,884,20,1,0,4617,69.9330734243015,Mid,60+,3,Lost
6518,1951,PhD,Widowed,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,74,606,18,1,0,4504,49.14331705150977,Mid,60+,3,Lost
4137,1948,Graduation,Married,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,77,1076,15,0,0,4326,90.84812760055479,Mid,60+,3,Lost
8082,1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,54,34,4,1,0,4525,2.7444198895027623,Low,50-60,0,Champions
1386,1967,Graduation,Married,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,58,11,3,2,0,4170,0.9634892086330936,Lower-Mid,50-60,2,Potential
9369,1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,46,1274,31,1,2,4223,110.18908358986502,Upper-Mid,40-50,3,Lost
4477,1958,Graduation,Married,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,67,653,17,1,0,4396,54.255743858052774,Mid,60+,3,Lost
1357,1970,Graduation,Married,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,55,1562,12,3,0,4568,124.89503064798599,Mid,50-60,1,At Risk
1402,1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,71,1253,18,0,0,4777,95.80453213313795,Mid,60+,3,Lost
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,52,109,6,1,0,4774,8.339390448261415,Mid,50-60,2,Potential
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,66,863,26,1,0,4590,68.6733660130719,Mid,60+,3,Lost
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,50,661,19,2,1,4571,52.81781885801794,Mid,40-50,1,At Risk
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,73,65,7,0,0,4181,5.678366419516863,Low,60+,0,Champions
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,48,13,3,1,0,4678,1.0150171013253528,Lower-Mid,40-50,0,Champions
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,53,1890,18,0,0,4792,144.05728297161937,Upper-Mid,50-60,3,Lost
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,49,2209,22,0,1,4746,170.0036346396966,Upper-Mid,40-50,3,Lost
10401,1976,2n Cycle,Married,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,49,18,3,0,0,4419,1.4877800407331976,Low,40-50,2,Potential
1618,1965,Graduation,Married,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,60,692,19,0,1,4664,54.192324185248715,Mid,50-60,3,Lost
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,40,165,8,1,0,4790,12.58168058455115,Low,30-40,0,Champions
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,56,16,3,1,0,4492,1.3009795191451468,Low,50-60,2,Potential
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,52,79,6,1,0,4482,6.4379183400267745,Low,50-60,0,Champions
4119,1963,Master,Married,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,62,318,10,0,0,4535,25.611797133406835,Lower-Mid,60+,0,Champions
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,38,778,26,0,0,4245,66.94098939929329,Upper-Mid,30-40,3,Lost
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,65,56,5,2,0,4443,4.6036461850101285,Low,60+,0,Champions
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,55,151,8,2,1,4469,12.341183710002237,Lower-Mid,50-60,2,Potential
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,68,372,13,1,2,4153,32.71683120635685,Mid,60+,2,Potential
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,52,1366,18,0,1,4169,119.6765411369633,Upper-Mid,50-60,1,At Risk
771,1967,Graduation,Married,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,58,194,9,1,0,4280,16.55572429906542,Mid,50-60,0,Champions
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,68,603,17,3,0,4708,46.781170348343245,Mid,60+,3,Lost
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,68,18,3,2,0,4154,1.582691381800674,Mid,60+,2,Potential
5798,1973,Master,Married,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,52,985,14,0,0,4339,82.91570638395945,Mid,50-60,1,At Risk
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,53,32,4,1,0,4219,2.7703247214979854,Lower-Mid,50-60,0,Champions
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,55,43,7,1,0,4157,3.778145297089247,Low,50-60,0,Champions
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,42,45,5,1,0,4159,3.951971627795143,Lower-Mid,40-50,2,Potential
7247,1960,Graduation,Widowed,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,65,606,17,1,1,4705,47.04388947927737,Lower-Mid,60+,1,At Risk
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,53,63,5,2,0,4565,5.040690032858707,Mid,50-60,2,Potential
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,74,978,24,0,1,4331,82.47852689909952,Upper-Mid,60+,3,Lost
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,42,410,14,0,0,4495,33.315350389321466,Mid,40-50,2,Potential
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,65,72,5,1,0,4462,5.893769610040341,Lower-Mid,60+,2,Potential
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,66,55,5,1,0,4212,4.769408831908832,Lower-Mid,60+,2,Potential
4518,1979,Graduation,Married,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,46,1169,25,1,0,4556,93.71757023705004,Upper-Mid,40-50,1,At Risk
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,80,1120,15,0,0,4529,90.32457496136011,Mid,60+,1,At Risk
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,66,1097,19,0,0,4173,96.01707404744788,Upper-Mid,60+,3,Lost
8373,1979,Basic,Married,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46,29,4,1,0,4322,2.4507751041184638,Low,40-50,0,Champions
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,61,187,9,2,0,4399,15.526653784951126,Lower-Mid,60+,2,Potential
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,56,910,22,2,0,4633,71.74131232462767,Mid,50-60,1,At Risk
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,47,145,7,1,0,4678,11.321344591705857,Lower-Mid,40-50,2,Potential
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,65,850,13,0,0,4690,66.19669509594883,Upper-Mid,60+,3,Lost
5077,1979,Graduation,Married,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,46,969,23,1,0,4360,81.1759747706422,Upper-Mid,40-50,3,Lost
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,34,1820,16,0,1,4717,140.92749629001486,Mid,30-40,3,Lost
3267,1963,Master,Married,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,62,608,17,1,1,4125,53.83563636363637,Mid,60+,3,Lost
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,34,730,24,0,2,4664,57.168203259005146,Upper-Mid,30-40,1,At Risk
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,45,551,16,1,0,4685,42.9568303094984,Lower-Mid,40-50,3,Lost
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,63,114,6,2,0,4413,9.435418082936778,Mid,60+,2,Potential
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,55,1724,15,0,2,4277,147.2272620996025,Upper-Mid,50-60,3,Lost
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,47,577,15,1,0,4616,45.65625,Lower-Mid,40-50,1,At Risk
5234,1967,2n Cycle,Married,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,58,81,5,2,0,4474,6.612706750111757,Lower-Mid,50-60,0,Champions
9862,1969,Graduation,Married,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,56,33,5,1,0,4348,2.7721366145354187,Low,50-60,2,Potential
9805,1953,Master,Married,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,72,660,18,1,0,4495,53.629588431590655,Mid,60+,1,At Risk
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,58,80,6,1,0,4246,6.88177107866227,Lower-Mid,50-60,2,Potential
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,40,30,4,2,0,4419,2.479633401221996,Low,30-40,0,Champions
